,mean_fit_time,mean_score_time,param_C,param_penalty,mean_test_score,std_test_score
4,35.50540652275085,0.055060958862304686,1.0,l2,0.9508353888397636,0.0008664899984352905
3,18.735412931442262,0.06252489089965821,0.1,l2,0.9415367431470191,0.0017538516443712426
2,9.91586766242981,0.06241683959960938,0.01,l2,0.9292316284264904,0.0018098166395957265
5,79.51918082237243,0.05820727348327637,,none,0.9272211104388699,0.0011601011631874622
1,5.870612144470215,0.1014519214630127,0.001,l2,0.8716060874016847,0.0019010569631632043
0,3.00365834236145,0.06081423759460449,0.0001,l2,0.3866523944710755,0.00031838100016731295
