,mean_fit_time,mean_score_time,param_C,param_penalty,mean_test_score,std_test_score
4,44.52072687149048,0.04313592910766602,1.0,l2,0.9511341759437515,0.0015973028130076654
5,39.8718339920044,0.043930435180664064,,none,0.9432828325102536,0.0016424571974769883
3,21.763470792770384,0.05904574394226074,0.1,l2,0.9372562149493596,0.001387148739323128
2,9.95270323753357,0.041080379486083986,0.01,l2,0.8893111241315811,0.002012078577777389
1,3.6194912433624267,0.04129328727722168,0.001,l2,0.46980832008035484,0.0019604384175505064
0,2.107833003997803,0.03904037475585938,0.0001,l2,0.2660751653134678,3.34812086716374e-05
