,mean_test_score,std_test_score,mean_fit_time,mean_score_time,param_batch_size,param_dropout_rate,param_lam_l2,param_nlayers
0,0.956541383266449,0.0005832853534789494,25.060850954055788,0.3101922035217285,512,0.3,0,1
1,0.9564576864242553,0.0009752737479417465,26.447001791000368,0.3100584506988525,512,0,0,1
2,0.9534276485443115,0.0006164480242382412,13.995535945892334,0.3214287757873535,2048,0,0,1
3,0.9506319642066956,0.0016465504604676827,13.851811456680299,0.24169325828552246,2048,0.3,0,1
4,0.9496275067329407,0.003068786132289894,14.739214897155762,0.3056144714355469,2048,0.3,0,5
5,0.9454256415367126,0.003077262727135618,24.35128688812256,0.43335490226745604,512,0.3,0,5
6,0.944756007194519,0.0026852927761145894,25.359167528152465,0.3532529830932617,512,0,0,5
7,0.9434000134468079,0.006133172477358504,14.362241983413696,0.29993929862976076,2048,0,0,5
8,0.9422951340675354,0.006324443685175742,12.51171145439148,0.23504796028137206,4096,0.3,0,1
9,0.9411567568778991,0.004502878905874871,13.344884967803955,0.2407136917114258,4096,0,0,1
10,0.9394659876823426,0.003187489047878656,26.605267190933226,0.4348574161529541,512,0,0,10
11,0.9280656218528748,0.01124372738845853,13.860377883911132,0.30080604553222656,4096,0,0,5
12,0.9201807975769043,0.04056670171611089,14.403615808486938,0.37019953727722166,4096,0.3,0,5
13,0.910454511642456,0.02227139271980065,15.362515640258788,0.37566213607788085,4096,0,0,10
14,0.9101029515266419,0.013607021619802663,15.629654598236083,0.44824557304382323,2048,0,0,10
15,0.8444630384445191,0.11834330488850812,26.956091785430907,0.49744277000427245,512,0.3,0,10
16,0.797823715209961,0.04204413474732064,24.207333469390868,0.3182033061981201,512,0,0.1,1
17,0.770703935623169,0.020950166038976262,25.193902683258056,0.30811171531677245,512,0.3,0.1,1
18,0.7302753925323486,0.16505869741183452,16.226231336593628,0.38721885681152346,2048,0.3,0,10
19,0.7072068333625794,0.12091102965537767,15.854755926132203,0.3724578857421875,4096,0.3,0,10
20,0.46038336157798765,0.052913693160734895,13.421798658370971,0.24241032600402831,2048,0.3,0.1,1
21,0.45628190636634824,0.06954439092500754,13.235228395462036,0.25184216499328616,2048,0,0.1,1
22,0.3308278262615204,0.04322418484978426,13.066995000839233,0.23627157211303712,4096,0.3,0.1,1
23,0.30436092615127563,0.034732356081209115,13.154477548599242,0.23376784324645997,4096,0,0.1,1
24,0.2660751700401306,0.002281515264976193,15.578137969970703,0.3910574436187744,4096,0,0.1,10
25,0.2660751700401306,0.002281515264976193,15.660664653778076,0.3928621768951416,2048,0.3,0.1,10
26,0.2660751700401306,0.002281515264976193,15.620709991455078,0.3925619602203369,2048,0,0.1,10
27,0.2660751700401306,0.002281515264976193,27.76949276924133,0.45183215141296384,512,0.3,0.1,10
28,0.2660751700401306,0.002281515264976193,27.10330810546875,0.45088810920715333,512,0,0.1,10
29,0.2660751700401306,0.002281515264976193,24.452812480926514,0.36191296577453613,512,0,0.1,5
30,0.2660751700401306,0.002281515264976193,14.328530073165894,0.297961950302124,4096,0.3,0.1,5
31,0.2660751700401306,0.002281515264976193,14.314768648147583,0.375803804397583,4096,0,0.1,5
32,0.2660751700401306,0.002281515264976193,14.83046064376831,0.31270737648010255,2048,0.3,0.1,5
33,0.2660751700401306,0.002281515264976193,14.645755338668824,0.30862112045288087,2048,0,0.1,5
34,0.2660751700401306,0.002281515264976193,25.349068212509156,0.36145496368408203,512,0.3,0.1,5
35,0.2660751700401306,0.002281515264976193,16.187612676620482,0.3841704845428467,4096,0.3,0.1,10
